,comments,labels
0,در کل خوبه,پیشنهاد می‌کنم
1,فقط میتونم بگم عالیه,پیشنهاد می‌کنم
2,خیلی خوبه مخصوصا برای محل کار,پیشنهاد می‌کنم
3,خوبه کار راه اندازه ولی حیف که چرخش نداره,پیشنهاد می‌کنم
4,نسبت به قیمتش خیلی محصول خوب و کاربردیه,پیشنهاد می‌کنم
5,زیبا و کم جا و قدرت خوبی هم به اندازه خودش دارد,پیشنهاد می‌کنم
6,خوب,پیشنهاد می‌کنم
7,بسیار کاربردی,پیشنهاد می‌کنم
8,خرید پیشنهاد می شود,پیشنهاد می‌کنم
9,پنکه خوبیه دوساله دارم استفاده مکنم از اینی که دارم کوچیکتر بود مرجوع شد,پیشنهاد می‌کنم
10,سگ جون و کار راه انداز,پیشنهاد می‌کنم
11,ازین پنکه یکبار دیگه هم سفارش دادم و عالی بود. روی دور کند کاملا بیصدا کار میکنه و جلوش رو تا حدودا یکی دو متر خنک میکنه. خلاصه عالیه. ممنون از دیجی کالا. راستی برگه ضمانت نامه هم همراهش بود,پیشنهاد می‌کنم
12,کیفیت خوبی داره,پیشنهاد می‌کنم
13,مثل یه پنکه هست با سه حالت سرعت,پیشنهاد می‌کنم
14,همه چیزیش خوب بود ولی عقربه سرعتش برعکسه,پیشنهاد می‌کنم
15,پنکه بی صدا و با کیفیت,پیشنهاد می‌کنم
16,خیلی عالی,پیشنهاد می‌کنم
17,عالی و پر قدرت,پیشنهاد می‌کنم
18,پنکه,پیشنهاد می‌کنم
19,جالب است,پیشنهاد می‌کنم
20,کوچولو و بامزه,پیشنهاد می‌کنم
21,دمنده,پیشنهاد می‌کنم
22,خوبه,پیشنهاد می‌کنم
23,خوبه برای روی میز، قدرت باد خوبیم داده تنها ضعفش نداشتن حالت چرخشه,پیشنهاد می‌کنم
24,من توی تخفیف خریدم و خیلی راضیم. فقط فکر می کردم شب موقع خواب بتونم روشن کنم ولی صداش نمیذاره بخوابم. البته همین مدل رو دوستم شب ها روشن میذاره و با صداش مشکلی نداره. به میزان حساسیت خودتون بستگی داره,پیشنهاد می‌کنم
25,عالیه موفق باشید,پیشنهاد می‌کنم
26,پنکه اقتصادی و مناسب,پیشنهاد می‌کنم
27,خوب بود,پیشنهاد می‌کنم
28,محصولات دمنده همیشه برنده.,پیشنهاد می‌کنم
29,به نسبت خودش عالیه و خرید خوبیه کم صدا و کارآمد,پیشنهاد می‌کنم
30,خیلی خوبه ولی قیمتش بالا هست با این مبلغ میتونستم کولر آبی رومیزی تهیه کنم,پیشنهاد می‌کنم
31,اونقدر که بعضی خریداران فرمودن چیز تاپی نیست. منو راضی نکرد,مطمئن نیستم
32,من این محصول را برای استفاده در کتابخانه خریدم و پشیمان هستم. اولا حجم و وزن زیادی دارد و حمل آن مشکل است. یعنی شما حداقل یک کیف دستی مخصوص این پنکه باید همراهتون باشه. دوما مقداری صدا ایجاد میکند. صدایش در حداقل سرعت در محیط کتابخانه مقداری مزاحم است. یعنی نفر کناری را اذیت می‌کند و سکوت عادی را بهم میزند. سوم اینکه شدت باد آن برای فاصله نزدیک زیاد است. اگر در حالت حداقل سرعت باشد و ۵۰ سانت فاصله روی میز با شما داشته باشد بادش شدید است و پوست را خشک می‌کند. باید حداقل یک متر ...,پیشنهاد نمی‌کنم
33,واقعا ارزنده و مفید,پیشنهاد می‌کنم
34,کیفیتش واقعا خوبه. ولی قیمتش بی دلیل بالاست,پیشنهاد می‌کنم
35,ازش راضيم، براي اتاق دخترم خريدم.,پیشنهاد می‌کنم
36,پنکه دمنده هاله,پیشنهاد می‌کنم
37,پرتاب باد حتی درجه پایین زیاد و بی صدا در حد صدای کولر بدون کوچکترین لرزش باد خنک و دلنشین از خریدش اصلا پشیمون نیستم این کولر کوچولو را حتما بخرید دیجی کالا ممنونم🥰,پیشنهاد می‌کنم
38,باددهی عالی,پیشنهاد می‌کنم
39,بخرید برای استفاده فردی خوب و مناسب است.,پیشنهاد می‌کنم
40,بسته آسیب دیده بود,پیشنهاد نمی‌کنم
41,عالی بود,پیشنهاد می‌کنم
42,پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
43,عالی,پیشنهاد می‌کنم
44,همه اش تو بغلمه ، کوچیکه تو هراتاق برم با خودم میبرمش ، از گرمای تابستان امسال نجاتم داد ، اگر به صدا حساسید این وسیله صدا داره مثل پنکه های قدیمی,پیشنهاد می‌کنم
45,جالبه,پیشنهاد می‌کنم
46,دو تا پنکه خریدم. واقعا بادش عالین. امیدوارم زود خراب نشن.,پیشنهاد می‌کنم
47,خوبه,پیشنهاد می‌کنم
48,ببینید دوستان من همیشه سعی میکنم نظر واقعی بدم که بقیه ام به شک نیوفتن . برای این قیمت ۷۰۰ ، ۸۰۰ تومن واقعا چیز به صرفه و خوبیه ، من شب میخوام بخوابم با وجود کولر اینم میزارم کنارم که قشنگ خنکم میکنه . صداشم اصلن زیاد نیست,پیشنهاد می‌کنم
49,خوبه,پیشنهاد می‌کنم
50,خود پنکه رو پیشنهاد می کنم,پیشنهاد می‌کنم
51,خوبه,پیشنهاد می‌کنم
52,خیلی باحال ولی کاش دسته داشت,پیشنهاد می‌کنم
53,خوبه,پیشنهاد می‌کنم
